InteractionID	UniprotID_A	UniprotName_A	GeneName_A	UniprotID_B	UniprotName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
3411483	P24385	CCND1_HUMAN	CCND1	P20020	AT2B1_HUMAN	ATP2B1	2	2	2	0	2
3411484	P24385	CCND1_HUMAN	CCND1	P05141	ADT2_HUMAN	SLC25A5	2	2	2	0	2
3411485	P24385	CCND1_HUMAN	CCND1	P43251	BTD_HUMAN	BTD	2	2	2	0	2
3411486	P24385	CCND1_HUMAN	CCND1	P06493	CDK1_HUMAN	CDK1	5	3	5	0	6
3411487	P24385	CCND1_HUMAN	CCND1	O60673	DPOLZ_HUMAN	REV3L	2	2	2	0	2
3557493	P24385	CCND1_HUMAN	CCND1	P35222	CTNB1_HUMAN	CTNNB1	2	1	2	0	2
3558254	P24385	CCND1_HUMAN	CCND1	P40763	STAT3_HUMAN	STAT3	4	3	2	0	4
3564440	P24385	CCND1_HUMAN	CCND1	P03372	ESR1_HUMAN	ESR1	6	4	2	0	6
3571737	P24385	CCND1_HUMAN	CCND1	Q13547	HDAC1_HUMAN	HDAC1	4	3	3	0	4
3625336	P24385	CCND1_HUMAN	CCND1	Q13616	CUL1_HUMAN	CUL1	5	2	5	0	5
3625337	P24385	CCND1_HUMAN	CCND1	Q5XUX0	FBX31_HUMAN	FBXO31	6	5	3	0	7
3625338	P24385	CCND1_HUMAN	CCND1	P63208	SKP1_HUMAN	SKP1	3	2	3	0	3
3679166	P24385	CCND1_HUMAN	CCND1	Q9UKT5	FBX4_HUMAN	FBXO4	5	3	3	0	6
3361394	P24386	RAE1_HUMAN	CHM	Q92696	PGTA_HUMAN	RABGGTA	3	3	3	0	3
3548163	P24386	RAE1_HUMAN	CHM	P20336	RAB3A_HUMAN	RAB3A	4	4	3	0	5
3564801	P24386	RAE1_HUMAN	CHM	Q13637	RAB32_HUMAN	RAB32	2	2	2	0	3
3653679	P24386	RAE1_HUMAN	CHM	P62820	RAB1A_HUMAN	RAB1A	3	3	2	0	3
3653680	P24386	RAE1_HUMAN	CHM	P20339	RAB5A_HUMAN	RAB5A	2	2	2	0	2
3205596	P24390	ERD21_HUMAN	KDELR1	P24390	ERD21_HUMAN	KDELR1	3	3	2	0	3
3213252	P24394	IL4RA_HUMAN	IL4R	P05112	IL4_HUMAN	IL4	6	5	5	3	10
3418047	P24394	IL4RA_HUMAN	IL4R	P42226	STAT6_HUMAN	STAT6	5	4	4	0	8
3569386	P24394	IL4RA_HUMAN	IL4R	P35225	IL13_HUMAN	IL13	2	2	2	0	2
3314301	P24522	GA45A_HUMAN	GADD45A	P52564	MP2K6_HUMAN	MAP2K6	3	3	2	0	3
3314302	P24522	GA45A_HUMAN	GADD45A	Q9Y6R4	M3K4_HUMAN	MAP3K4	4	4	2	0	4
3445525	P24522	GA45A_HUMAN	GADD45A	P19793	RXRA_HUMAN	RXRA	3	3	2	0	4
3558291	P24522	GA45A_HUMAN	GADD45A	P06493	CDK1_HUMAN	CDK1	9	4	5	0	11
3564464	P24522	GA45A_HUMAN	GADD45A	P38936	CDN1A_HUMAN	CDKN1A	4	3	3	0	5
3213248	P24530	EDNRB_HUMAN	EDNRB	P05305	EDN1_HUMAN	EDN1	2	2	2	0	3
3567102	P24530	EDNRB_HUMAN	EDNRB	P14138	EDN3_HUMAN	EDN3	2	2	2	0	2
3423765	P24534	EF1B_HUMAN	EEF1B2	Q05639	EF1A2_HUMAN	EEF1A2	4	3	3	0	4
3768812	P24534	EF1B_HUMAN	EEF1B2	P29692	EF1D_HUMAN	EEF1D	2	1	2	0	2
3340352	P24539	AT5F1_HUMAN	ATP5F1	P25705	ATPA_HUMAN	ATP5A1	3	3	3	0	5
3340353	P24539	AT5F1_HUMAN	ATP5F1	P36542	ATPG_HUMAN	ATP5C1	4	3	4	0	6
3340354	P24539	AT5F1_HUMAN	ATP5F1	P18859	ATP5J_HUMAN	ATP5J	2	2	2	0	3
3340356	P24539	AT5F1_HUMAN	ATP5F1	O75947	ATP5H_HUMAN	ATP5H	3	3	3	0	5
3340357	P24539	AT5F1_HUMAN	ATP5F1	P30049	ATPD_HUMAN	ATP5D	4	3	4	0	5
3340359	P24539	AT5F1_HUMAN	ATP5F1	P06576	ATPB_HUMAN	ATP5B	3	3	3	0	5
3340360	P24539	AT5F1_HUMAN	ATP5F1	O75964	ATP5L_HUMAN	ATP5L	2	2	2	0	3
3340361	P24539	AT5F1_HUMAN	ATP5F1	P56385	ATP5I_HUMAN	ATP5I	2	2	2	0	3
3730386	P24539	AT5F1_HUMAN	ATP5F1	O43674	NDUB5_HUMAN	NDUFB5	2	1	2	0	2
3730415	P24539	AT5F1_HUMAN	ATP5F1	Q9Y6M9	NDUB9_HUMAN	NDUFB9	2	1	2	0	2
3739432	P24539	AT5F1_HUMAN	ATP5F1	P31040	SDHA_HUMAN	SDHA	2	1	2	0	2
3393730	P24588	AKAP5_HUMAN	AKAP5	Q8N6M0	OTU6B_HUMAN	OTUD6B	2	2	2	0	2
3393731	P24588	AKAP5_HUMAN	AKAP5	P54652	HSP72_HUMAN	HSPA2	2	2	2	0	2
3393732	P24588	AKAP5_HUMAN	AKAP5	O75746	CMC1_HUMAN	SLC25A12	2	2	2	0	2
3393733	P24588	AKAP5_HUMAN	AKAP5	P19338	NUCL_HUMAN	NCL	2	2	2	0	2
3393734	P24588	AKAP5_HUMAN	AKAP5	P49759	CLK1_HUMAN	CLK1	2	2	2	0	2
3393735	P24588	AKAP5_HUMAN	AKAP5	O95232	LC7L3_HUMAN	LUC7L3	2	2	2	0	2
3393737	P24588	AKAP5_HUMAN	AKAP5	O43463	SUV91_HUMAN	SUV39H1	2	2	2	0	2
3393738	P24588	AKAP5_HUMAN	AKAP5	Q8NHU3	SMS2_HUMAN	SGMS2	2	2	2	0	2
3393740	P24588	AKAP5_HUMAN	AKAP5	Q8TEX9	IPO4_HUMAN	IPO4	2	2	2	0	2
3393742	P24588	AKAP5_HUMAN	AKAP5	Q92973	TNPO1_HUMAN	TNPO1	2	2	2	0	2
3393743	P24588	AKAP5_HUMAN	AKAP5	Q13523	PRP4B_HUMAN	PRPF4B	2	2	2	0	2
3393744	P24588	AKAP5_HUMAN	AKAP5	Q96E39	RMXL1_HUMAN	RBMXL1	2	2	2	0	2
3393745	P24588	AKAP5_HUMAN	AKAP5	Q6PCB5	RSBNL_HUMAN	RSBN1L	2	2	2	0	2
3393746	P24588	AKAP5_HUMAN	AKAP5	P68431	H31_HUMAN	HIST1H3J	2	2	2	0	2
3547625	P24588	AKAP5_HUMAN	AKAP5	P31323	KAP3_HUMAN	PRKAR2B	3	3	2	0	4
3547849	P24588	AKAP5_HUMAN	AKAP5	P17252	KPCA_HUMAN	PRKCA	3	3	3	0	3
3554226	P24588	AKAP5_HUMAN	AKAP5	Q08209	PP2BA_HUMAN	PPP3CA	6	6	2	1	6
3731678	P24752	THIL_HUMAN	ACAT1	P42765	THIM_HUMAN	ACAA2	2	1	2	0	2
3567618	P24821	TENA_HUMAN	TNC	P08648	ITA5_HUMAN	ITGA5	2	1	2	0	2
3442559	P24844	MYL9_HUMAN	MYL9	P35579	MYH9_HUMAN	MYH9	3	3	2	0	4
3560580	P24855	DNAS1_HUMAN	DNASE1	P68133	ACTS_HUMAN	ACTA1	2	2	2	0	2
3333286	P24863	CCNC_HUMAN	CCNC	Q93074	MED12_HUMAN	MED12	5	4	4	0	6
3333287	P24863	CCNC_HUMAN	CCNC	Q9UHV7	MED13_HUMAN	MED13	3	3	2	0	4
3333297	P24863	CCNC_HUMAN	CCNC	O75448	MED24_HUMAN	MED24	3	3	3	0	3
3333298	P24863	CCNC_HUMAN	CCNC	O60244	MED14_HUMAN	MED14	5	3	5	0	5
3333300	P24863	CCNC_HUMAN	CCNC	Q9BWU1	CDK19_HUMAN	CDK19	6	5	5	0	7
3559101	P24863	CCNC_HUMAN	CCNC	Q00526	CDK3_HUMAN	CDK3	3	3	2	0	4
3571144	P24863	CCNC_HUMAN	CCNC	O75586	MED6_HUMAN	MED6	3	3	3	0	3
3571145	P24863	CCNC_HUMAN	CCNC	Q13503	MED21_HUMAN	MED21	4	3	4	0	5
3628083	P24863	CCNC_HUMAN	CCNC	Q9NVC6	MED17_HUMAN	MED17	3	3	3	0	3
3628084	P24863	CCNC_HUMAN	CCNC	Q9H944	MED20_HUMAN	MED20	3	3	3	0	3
3629154	P24863	CCNC_HUMAN	CCNC	Q9Y2X0	MED16_HUMAN	MED16	2	2	2	0	2
3812669	P24863	CCNC_HUMAN	CCNC	Q9ULK4	MED23_HUMAN	MED23	2	2	2	0	2
3812671	P24863	CCNC_HUMAN	CCNC	Q9NPJ6	MED4_HUMAN	MED4	2	1	2	0	2
3326026	P24864	CCNE1_HUMAN	CCNE1	P38936	CDN1A_HUMAN	CDKN1A	23	8	18	0	30
3558290	P24864	CCNE1_HUMAN	CCNE1	P06493	CDK1_HUMAN	CDK1	6	4	4	0	6
3558468	P24864	CCNE1_HUMAN	CCNE1	P30304	MPIP1_HUMAN	CDC25A	3	3	2	0	3
3559871	P24864	CCNE1_HUMAN	CCNE1	P28749	RBL1_HUMAN	RBL1	2	2	2	0	2
3563626	P24864	CCNE1_HUMAN	CCNE1	P62158	CALM_HUMAN	CALM3	2	2	2	0	2
3689738	P24864	CCNE1_HUMAN	CCNE1	P46414	CDN1B_MOUSE	Cdkn1b	2	1	2	0	2
3702485	P24864	CCNE1_HUMAN	CCNE1	P16401	H15_HUMAN	HIST1H1B	4	1	4	0	4
3702513	P24864	CCNE1_HUMAN	CCNE1	Q14207	NPAT_HUMAN	NPAT	4	3	3	0	5
3703533	P24864	CCNE1_HUMAN	CCNE1	P06400	RB_HUMAN	RB1	9	1	9	0	9
3703662	P24864	CCNE1_HUMAN	CCNE1	Q02539	H11_HUMAN	HIST1H1A	11	2	10	0	11
3312333	P24928	RPB1_HUMAN	POLR2A	O00267	SPT5H_HUMAN	SUPT5H	16	8	12	0	17
3315020	P24928	RPB1_HUMAN	POLR2A	P17844	DDX5_HUMAN	DDX5	4	4	2	0	5
3316654	P24928	RPB1_HUMAN	POLR2A	Q9Y5B0	CTDP1_HUMAN	CTDP1	10	6	8	0	10
3321695	P24928	RPB1_HUMAN	POLR2A	Q8N7H5	PAF1_HUMAN	PAF1	7	5	6	0	10
3321696	P24928	RPB1_HUMAN	POLR2A	Q6P1J9	CDC73_HUMAN	CDC73	4	2	4	0	9
3322896	P24928	RPB1_HUMAN	POLR2A	Q6PD62	CTR9_HUMAN	CTR9	3	3	3	0	3
3322898	P24928	RPB1_HUMAN	POLR2A	Q8WVC0	LEO1_HUMAN	LEO1	2	2	2	0	3
3323706	P24928	RPB1_HUMAN	POLR2A	Q9NZC7	WWOX_HUMAN	WWOX	2	2	2	0	3
3366173	P24928	RPB1_HUMAN	POLR2A	Q9NQG5	RPR1B_HUMAN	RPRD1B	6	5	3	0	9
3550618	P24928	RPB1_HUMAN	POLR2A	O43719	HTSF1_HUMAN	HTATSF1	2	2	2	0	2
3551572	P24928	RPB1_HUMAN	POLR2A	Q16637	SMN_HUMAN	SMN2	4	4	2	0	5
3551589	P24928	RPB1_HUMAN	POLR2A	Q05048	CSTF1_HUMAN	CSTF1	3	2	2	0	3
3553449	P24928	RPB1_HUMAN	POLR2A	Q99728	BARD1_HUMAN	BARD1	2	2	2	0	2
3553635	P24928	RPB1_HUMAN	POLR2A	P38398	BRCA1_HUMAN	BRCA1	13	4	10	0	13
3555270	P24928	RPB1_HUMAN	POLR2A	Q08211	DHX9_HUMAN	DHX9	3	2	3	0	3
3555339	P24928	RPB1_HUMAN	POLR2A	P49336	CDK8_HUMAN	CDK8	8	4	7	0	9
3556508	P24928	RPB1_HUMAN	POLR2A	Q10570	CPSF1_HUMAN	CPSF1	3	2	2	0	3
3556514	P24928	RPB1_HUMAN	POLR2A	Q9P2I0	CPSF2_HUMAN	CPSF2	3	3	2	0	3
3556515	P24928	RPB1_HUMAN	POLR2A	Q9UKF6	CPSF3_HUMAN	CPSF3	3	3	2	0	3
3558800	P24928	RPB1_HUMAN	POLR2A	O15514	RPB4_HUMAN	POLR2D	6	4	5	0	6
3559939	P24928	RPB1_HUMAN	POLR2A	P19387	RPB3_HUMAN	POLR2C	7	5	5	0	8
3559941	P24928	RPB1_HUMAN	POLR2A	P62875	RPAB5_HUMAN	POLR2L	3	3	2	0	4
3559948	P24928	RPB1_HUMAN	POLR2A	P19388	RPAB1_HUMAN	POLR2E	6	4	5	0	7
3567372	P24928	RPB1_HUMAN	POLR2A	P60709	ACTB_HUMAN	ACTB	5	3	4	0	6
3629629	P24928	RPB1_HUMAN	POLR2A	Q8IXW5	RPAP2_HUMAN	RPAP2	2	2	2	0	3
3648206	P24928	RPB1_HUMAN	POLR2A	P20226	TBP_HUMAN	TBP	4	3	3	0	4
3648214	P24928	RPB1_HUMAN	POLR2A	Q15544	TAF11_HUMAN	TAF11	3	3	2	0	3
3648218	P24928	RPB1_HUMAN	POLR2A	P29083	T2EA_HUMAN	GTF2E1	3	2	2	0	3
3648222	P24928	RPB1_HUMAN	POLR2A	P35269	T2FA_HUMAN	GTF2F1	8	4	7	0	8
3654678	P24928	RPB1_HUMAN	POLR2A	P13984	T2FB_HUMAN	GTF2F2	3	2	3	0	3
3664136	P24928	RPB1_HUMAN	POLR2A	P30876	RPB2_HUMAN	POLR2B	3	2	3	0	3
3664137	P24928	RPB1_HUMAN	POLR2A	P36954	RPB9_HUMAN	POLR2I	3	2	3	0	3
3664138	P24928	RPB1_HUMAN	POLR2A	P52435	RPB11_HUMAN	POLR2J	3	3	3	0	3
3664268	P24928	RPB1_HUMAN	POLR2A	Q7KZ85	SPT6H_HUMAN	SUPT6H	2	2	2	0	2
3667502	P24928	RPB1_HUMAN	POLR2A	Q9UL18	AGO1_HUMAN	AGO1	3	2	2	0	4
3702200	P24928	RPB1_HUMAN	POLR2A	P33993	MCM7_HUMAN	MCM7	2	2	2	0	2
3720515	P24928	RPB1_HUMAN	POLR2A	Q12996	CSTF3_HUMAN	CSTF3	4	3	3	0	4
3180770	P24941	CDK2_HUMAN	CDK2	Q09472	EP300_HUMAN	EP300	6	5	3	0	10
3312587	P24941	CDK2_HUMAN	CDK2	P24864	CCNE1_HUMAN	CCNE1	71	9	58	1	85
3313221	P24941	CDK2_HUMAN	CDK2	P20248	CCNA2_HUMAN	CCNA2	58	12	50	86	71
3320311	P24941	CDK2_HUMAN	CDK2	Q13416	ORC2_HUMAN	ORC2	4	4	2	0	4
3320319	P24941	CDK2_HUMAN	CDK2	P25205	MCM3_HUMAN	MCM3	5	4	2	0	5
3370535	P24941	CDK2_HUMAN	CDK2	P14635	CCNB1_HUMAN	CCNB1	14	4	11	1	17
3370536	P24941	CDK2_HUMAN	CDK2	P07900	HS90A_HUMAN	HSP90AA1	3	2	2	0	3
3370537	P24941	CDK2_HUMAN	CDK2	Q92793	CBP_HUMAN	CREBBP	5	2	3	0	6
3370538	P24941	CDK2_HUMAN	CDK2	P61024	CKS1_HUMAN	CKS1B	18	8	14	1	21
3370539	P24941	CDK2_HUMAN	CDK2	P49918	CDN1C_HUMAN	CDKN1C	8	3	6	0	9
3370540	P24941	CDK2_HUMAN	CDK2	O75496	GEMI_HUMAN	GMNN	3	2	2	0	4
3370541	P24941	CDK2_HUMAN	CDK2	Q8TD08	MK15_HUMAN	MAPK15	5	3	3	0	8
3370542	P24941	CDK2_HUMAN	CDK2	P28749	RBL1_HUMAN	RBL1	12	6	9	0	14
3370544	P24941	CDK2_HUMAN	CDK2	Q00526	CDK3_HUMAN	CDK3	3	2	2	0	4
3370545	P24941	CDK2_HUMAN	CDK2	Q08379	GOGA2_HUMAN	GOLGA2	6	2	4	0	6
3370546	P24941	CDK2_HUMAN	CDK2	P33552	CKS2_HUMAN	CKS2	8	4	6	0	9
3370547	P24941	CDK2_HUMAN	CDK2	P24385	CCND1_HUMAN	CCND1	11	7	9	0	11
3370548	P24941	CDK2_HUMAN	CDK2	P50613	CDK7_HUMAN	CDK7	17	5	13	0	18
3370549	P24941	CDK2_HUMAN	CDK2	P08238	HS90B_HUMAN	HSP90AB1	3	2	2	0	3
3370552	P24941	CDK2_HUMAN	CDK2	Q12834	CDC20_HUMAN	CDC20	5	2	4	0	5
3371896	P24941	CDK2_HUMAN	CDK2	Q14004	CDK13_HUMAN	CDK13	4	3	3	0	4
3371897	P24941	CDK2_HUMAN	CDK2	P12268	IMDH2_HUMAN	IMPDH2	3	2	2	0	3
3371898	P24941	CDK2_HUMAN	CDK2	P63208	SKP1_HUMAN	SKP1	9	5	7	0	10
3379615	P24941	CDK2_HUMAN	CDK2	Q00534	CDK6_HUMAN	CDK6	3	3	2	0	3
3379617	P24941	CDK2_HUMAN	CDK2	P84022	SMAD3_HUMAN	SMAD3	4	4	2	0	4
3379622	P24941	CDK2_HUMAN	CDK2	P78396	CCNA1_HUMAN	CCNA1	27	9	24	0	28
3379627	P24941	CDK2_HUMAN	CDK2	P04637	P53_HUMAN	TP53	5	4	3	0	5
3385214	P24941	CDK2_HUMAN	CDK2	Q16254	E2F4_HUMAN	E2F4	3	3	2	0	3
3385216	P24941	CDK2_HUMAN	CDK2	Q14186	TFDP1_HUMAN	TFDP1	4	3	2	0	4
3407254	P24941	CDK2_HUMAN	CDK2	O60506	HNRPQ_HUMAN	SYNCRIP	2	2	2	0	2
3407255	P24941	CDK2_HUMAN	CDK2	Q8IW45	NNRD_HUMAN	CARKD	2	2	2	0	2
3407256	P24941	CDK2_HUMAN	CDK2	O43683	BUB1_HUMAN	BUB1	2	2	2	0	2
3407258	P24941	CDK2_HUMAN	CDK2	O43488	ARK72_HUMAN	AKR7A2	2	2	2	0	2
3407259	P24941	CDK2_HUMAN	CDK2	Q9Y4I1	MYO5A_HUMAN	MYO5A	2	2	2	0	2
3407260	P24941	CDK2_HUMAN	CDK2	Q00610	CLH1_HUMAN	CLTC	3	2	3	0	3
3407261	P24941	CDK2_HUMAN	CDK2	P28289	TMOD1_HUMAN	TMOD1	2	2	2	0	2
3407262	P24941	CDK2_HUMAN	CDK2	Q96HS1	PGAM5_HUMAN	PGAM5	2	2	2	0	2
3407263	P24941	CDK2_HUMAN	CDK2	Q9ULV4	COR1C_HUMAN	CORO1C	2	2	2	0	2
3407265	P24941	CDK2_HUMAN	CDK2	O00159	MYO1C_HUMAN	MYO1C	2	2	2	0	3
3407266	P24941	CDK2_HUMAN	CDK2	P06396	GELS_HUMAN	GSN	2	2	2	0	2
3407267	P24941	CDK2_HUMAN	CDK2	Q01082	SPTB2_HUMAN	SPTBN1	3	2	3	0	3
3407268	P24941	CDK2_HUMAN	CDK2	Q9UGI8	TES_HUMAN	TES	2	2	2	0	2
3407269	P24941	CDK2_HUMAN	CDK2	Q96N67	DOCK7_HUMAN	DOCK7	2	2	2	0	2
3407270	P24941	CDK2_HUMAN	CDK2	O43795	MYO1B_HUMAN	MYO1B	2	2	2	0	2
3407271	P24941	CDK2_HUMAN	CDK2	Q13595	TRA2A_HUMAN	TRA2A	2	2	2	0	2
3407272	P24941	CDK2_HUMAN	CDK2	Q8N3V7	SYNPO_HUMAN	SYNPO	2	2	2	0	2
3407273	P24941	CDK2_HUMAN	CDK2	Q00536	CDK16_HUMAN	CDK16	2	2	2	0	2
3407274	P24941	CDK2_HUMAN	CDK2	P07951	TPM2_HUMAN	TPM2	2	2	2	0	2
3407275	P24941	CDK2_HUMAN	CDK2	Q13813	SPTN1_HUMAN	SPTAN1	3	2	3	0	3
3407277	P24941	CDK2_HUMAN	CDK2	Q96DB5	RMD1_HUMAN	RMDN1	2	2	2	0	2
3407279	P24941	CDK2_HUMAN	CDK2	P62140	PP1B_HUMAN	PPP1CB	2	2	2	0	2
3407280	P24941	CDK2_HUMAN	CDK2	P06753	TPM3_HUMAN	TPM3	3	2	3	0	3
3407281	P24941	CDK2_HUMAN	CDK2	P30281	CCND3_HUMAN	CCND3	5	2	5	0	7
3407283	P24941	CDK2_HUMAN	CDK2	Q9BPX5	ARP5L_HUMAN	ARPC5L	2	2	2	0	2
3407284	P24941	CDK2_HUMAN	CDK2	O14639	ABLM1_HUMAN	ABLIM1	2	2	2	0	2
3407285	P24941	CDK2_HUMAN	CDK2	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	2	2	2	0	2
3407286	P24941	CDK2_HUMAN	CDK2	Q9UM54	MYO6_HUMAN	MYO6	2	2	2	0	2
3407287	P24941	CDK2_HUMAN	CDK2	Q9Y608	LRRF2_HUMAN	LRRFIP2	2	2	2	0	2
3407290	P24941	CDK2_HUMAN	CDK2	O95425	SVIL_HUMAN	SVIL	2	2	2	0	2
3407291	P24941	CDK2_HUMAN	CDK2	P35579	MYH9_HUMAN	MYH9	3	2	3	0	4
3407292	P24941	CDK2_HUMAN	CDK2	O14974	MYPT1_HUMAN	PPP1R12A	2	2	2	0	2
3407293	P24941	CDK2_HUMAN	CDK2	P26583	HMGB2_HUMAN	HMGB2	3	2	3	0	3
3407295	P24941	CDK2_HUMAN	CDK2	P26447	S10A4_HUMAN	S100A4	2	2	2	0	2
3407296	P24941	CDK2_HUMAN	CDK2	Q969P6	TOP1M_HUMAN	TOP1MT	2	2	2	0	2
3407297	P24941	CDK2_HUMAN	CDK2	Q16643	DREB_HUMAN	DBN1	2	2	2	0	2
3407298	P24941	CDK2_HUMAN	CDK2	P09496	CLCA_HUMAN	CLTA	2	2	2	0	2
3407299	P24941	CDK2_HUMAN	CDK2	Q13045	FLII_HUMAN	FLII	2	2	2	0	2
3407301	P24941	CDK2_HUMAN	CDK2	O15143	ARC1B_HUMAN	ARPC1B	2	2	2	0	2
3407302	P24941	CDK2_HUMAN	CDK2	Q69YQ0	CYTSA_HUMAN	SPECC1L	2	2	2	0	2
3407303	P24941	CDK2_HUMAN	CDK2	O43293	DAPK3_HUMAN	DAPK3	2	2	2	0	2
3407304	P24941	CDK2_HUMAN	CDK2	P52306	GDS1_HUMAN	RAP1GDS1	2	2	2	0	2
3407305	P24941	CDK2_HUMAN	CDK2	P51946	CCNH_HUMAN	CCNH	9	5	9	0	10
3407306	P24941	CDK2_HUMAN	CDK2	Q9NSY1	BMP2K_HUMAN	BMP2K	2	2	2	0	2
3407307	P24941	CDK2_HUMAN	CDK2	P67936	TPM4_HUMAN	TPM4	3	2	3	0	3
3407308	P24941	CDK2_HUMAN	CDK2	Q9ULM3	YETS2_HUMAN	YEATS2	2	2	2	0	2
3407310	P24941	CDK2_HUMAN	CDK2	Q86V48	LUZP1_HUMAN	LUZP1	2	2	2	0	2
3407311	P24941	CDK2_HUMAN	CDK2	Q92614	MY18A_HUMAN	MYO18A	2	2	2	0	2
3407312	P24941	CDK2_HUMAN	CDK2	Q8N556	AFAP1_HUMAN	AFAP1	2	2	2	0	2
3407313	P24941	CDK2_HUMAN	CDK2	Q9UHB6	LIMA1_HUMAN	LIMA1	2	2	2	0	2
3407315	P24941	CDK2_HUMAN	CDK2	Q6WCQ1	MPRIP_HUMAN	MPRIP	2	2	2	0	2
3407316	P24941	CDK2_HUMAN	CDK2	Q9P0K7	RAI14_HUMAN	RAI14	2	2	2	0	2
3407317	P24941	CDK2_HUMAN	CDK2	Q9UPQ0	LIMC1_HUMAN	LIMCH1	2	2	2	0	2
3407318	P24941	CDK2_HUMAN	CDK2	P63261	ACTG_HUMAN	ACTG1	2	2	2	0	2
3407320	P24941	CDK2_HUMAN	CDK2	Q9NYL9	TMOD3_HUMAN	TMOD3	2	2	2	0	2
3407321	P24941	CDK2_HUMAN	CDK2	Q15545	TAF7_HUMAN	TAF7	2	2	2	0	2
3414541	P24941	CDK2_HUMAN	CDK2	Q9Y6N7	ROBO1_HUMAN	ROBO1	2	2	2	0	2
3414543	P24941	CDK2_HUMAN	CDK2	P12004	PCNA_HUMAN	PCNA	10	5	8	0	11
3414544	P24941	CDK2_HUMAN	CDK2	P10809	CH60_HUMAN	HSPD1	3	2	3	0	3
3414545	P24941	CDK2_HUMAN	CDK2	Q2TB18	ASTE1_HUMAN	ASTE1	2	2	2	0	2
3414546	P24941	CDK2_HUMAN	CDK2	Q96EK4	THA11_HUMAN	THAP11	2	2	2	0	2
3414547	P24941	CDK2_HUMAN	CDK2	Q15326	ZMY11_HUMAN	ZMYND11	2	2	2	0	2
3418395	P24941	CDK2_HUMAN	CDK2	P30279	CCND2_HUMAN	CCND2	3	2	3	0	4
3418396	P24941	CDK2_HUMAN	CDK2	P30305	MPIP2_HUMAN	CDC25B	3	2	3	0	3
3420862	P24941	CDK2_HUMAN	CDK2	P24941	CDK2_HUMAN	CDK2	5	4	5	2	5
3553201	P24941	CDK2_HUMAN	CDK2	P38398	BRCA1_HUMAN	BRCA1	5	4	3	0	6
3558236	P24941	CDK2_HUMAN	CDK2	P49715	CEBPA_HUMAN	CEBPA	5	5	2	0	5
3559577	P24941	CDK2_HUMAN	CDK2	Q02363	ID2_HUMAN	ID2	3	2	2	0	3
3559596	P24941	CDK2_HUMAN	CDK2	P17480	UBF1_HUMAN	UBTF	2	2	2	0	2
3559621	P24941	CDK2_HUMAN	CDK2	P10244	MYBB_HUMAN	MYBL2	4	2	4	0	4
3559656	P24941	CDK2_HUMAN	CDK2	Q08050	FOXM1_HUMAN	FOXM1	4	4	2	0	4
3559665	P24941	CDK2_HUMAN	CDK2	Q99741	CDC6_HUMAN	CDC6	3	3	3	1	3
3559682	P24941	CDK2_HUMAN	CDK2	Q9UM11	FZR_HUMAN	FZR1	5	2	5	0	5
3559767	P24941	CDK2_HUMAN	CDK2	O00311	CDC7_HUMAN	CDC7	4	3	2	0	5
3564327	P24941	CDK2_HUMAN	CDK2	P33991	MCM4_HUMAN	MCM4	3	2	2	0	3
3571334	P24941	CDK2_HUMAN	CDK2	Q14207	NPAT_HUMAN	NPAT	6	5	2	0	6
3572624	P24941	CDK2_HUMAN	CDK2	P03372	ESR1_HUMAN	ESR1	3	3	2	0	3
3624249	P24941	CDK2_HUMAN	CDK2	P30274	CCNA2_BOVIN	CCNA2	2	1	2	11	2
3649239	P24941	CDK2_HUMAN	CDK2	P12956	XRCC6_HUMAN	XRCC6	2	2	2	0	2
3654389	P24941	CDK2_HUMAN	CDK2	P48972	MYBB_MOUSE	Mybl2	2	1	2	0	2
3675734	P24941	CDK2_HUMAN	CDK2	Q02539	H11_HUMAN	HIST1H1A	41	2	40	0	41
3702433	P24941	CDK2_HUMAN	CDK2	P49736	MCM2_HUMAN	MCM2	2	2	2	0	2
3702470	P24941	CDK2_HUMAN	CDK2	P30307	MPIP3_HUMAN	CDC25C	2	1	2	0	2
3702854	P24941	CDK2_HUMAN	CDK2	Q15078	CD5R1_HUMAN	CDK5R1	2	1	2	0	3
3712334	P24941	CDK2_HUMAN	CDK2	P04075	ALDOA_HUMAN	ALDOA	2	2	2	0	2
3712404	P24941	CDK2_HUMAN	CDK2	P55072	TERA_HUMAN	VCP	2	1	2	0	2
3712426	P24941	CDK2_HUMAN	CDK2	Q99623	PHB2_HUMAN	PHB2	2	1	2	0	2
3712428	P24941	CDK2_HUMAN	CDK2	Q8WZ42	TITIN_HUMAN	TTN	2	1	2	0	2
3712472	P24941	CDK2_HUMAN	CDK2	P53999	TCP4_HUMAN	SUB1	2	1	2	0	2
3804940	P24941	CDK2_HUMAN	CDK2	Q86T82	UBP37_HUMAN	USP37	2	2	2	0	2
3568379	P25024	CXCR1_HUMAN	CXCR1	P04899	GNAI2_HUMAN	GNAI2	3	2	2	0	3
3213253	P25025	CXCR2_HUMAN	CXCR2	P10145	IL8_HUMAN	CXCL8	4	4	3	0	5
3244759	P25054	APC_HUMAN	APC	O70239	AXIN1_RAT	Axin1	2	2	2	0	4
3244760	P25054	APC_HUMAN	APC	P49674	KC1E_HUMAN	CSNK1E	6	5	4	0	10
